# Version 1.00
#
freq[Hz];db:Trc1_S21;ang:Trc1_S21;
3.610320000000000E+009;-4.948406036652087E+001;-1.329376537377068E+002;
3.610325000000000E+009;-4.957630762625157E+001;-1.326816599707974E+002;
3.610330000000000E+009;-4.951726509598618E+001;-1.323810115730254E+002;
3.610335000000000E+009;-4.947256829636305E+001;-1.329532088236834E+002;
3.610340000000000E+009;-4.952486943545002E+001;-1.332637484004318E+002;
3.610345000000000E+009;-4.951343167334088E+001;-1.329053562530675E+002;
3.610350000000000E+009;-4.955537622474210E+001;-1.331829806225412E+002;
3.610355000000000E+009;-4.952954889490642E+001;-1.335420153221822E+002;
3.610360000000000E+009;-4.954202677007629E+001;-1.334171364523944E+002;
3.610365000000000E+009;-4.945346141420874E+001;-1.328696452208574E+002;
3.610370000000000E+009;-4.946946920533279E+001;-1.329242613344970E+002;
3.610375000000000E+009;-4.951270580872383E+001;-1.336300240456487E+002;
3.610380000000000E+009;-4.951144626564542E+001;-1.336446765139772E+002;
3.610385000000000E+009;-4.952809636461809E+001;-1.333121259934486E+002;
3.610390000000000E+009;-4.955445985792450E+001;-1.336585306512780E+002;
3.610395000000000E+009;-4.953971981081082E+001;-1.334385132449585E+002;
3.610400000000000E+009;-4.943854610336778E+001;-1.327621579176982E+002;
3.610405000000000E+009;-4.954295281741182E+001;-1.335229444092624E+002;
3.610410000000000E+009;-4.950973480486901E+001;-1.334896578175186E+002;
3.610415000000000E+009;-4.955796063064659E+001;-1.335497993912324E+002;
3.610420000000000E+009;-4.951650174081415E+001;-1.344977873945899E+002;
3.610425000000000E+009;-4.963370510370215E+001;-1.340584330750065E+002;
3.610430000000000E+009;-4.939990184246419E+001;-1.337891967845436E+002;
3.610435000000000E+009;-4.952745825936836E+001;-1.336874055478928E+002;
3.610440000000000E+009;-4.955126229912878E+001;-1.338108510755133E+002;
3.610445000000000E+009;-4.950212625202183E+001;-1.334931284544036E+002;
3.610450000000000E+009;-4.945968106068903E+001;-1.336796041213725E+002;
3.610455000000000E+009;-4.951389951268482E+001;-1.347246358222551E+002;
3.610460000000000E+009;-4.944260964320966E+001;-1.340420309715638E+002;
3.610465000000000E+009;-4.947082408463464E+001;-1.343231036095333E+002;
3.610470000000000E+009;-4.944654645908676E+001;-1.342773448824586E+002;
3.610475000000000E+009;-4.956738967757228E+001;-1.344493687805118E+002;
3.610480000000000E+009;-4.954458756382624E+001;-1.337739588340633E+002;
3.610485000000000E+009;-4.946249327762181E+001;-1.345548188824296E+002;
3.610490000000000E+009;-4.953860185180162E+001;-1.343340590282710E+002;
3.610495000000000E+009;-4.961221701601340E+001;-1.344355938495123E+002;
3.610500000000000E+009;-4.950910803943427E+001;-1.343704594291761E+002;
3.610505000000000E+009;-4.952451768251166E+001;-1.347186234277498E+002;
3.610510000000000E+009;-4.959103561725486E+001;-1.349130560754367E+002;
3.610515000000000E+009;-4.956806059929863E+001;-1.342151813494056E+002;
3.610520000000000E+009;-4.943505417684386E+001;-1.347618981035714E+002;
3.610525000000000E+009;-4.953168511546900E+001;-1.344392760151090E+002;
3.610530000000000E+009;-4.945736806923559E+001;-1.346380225602136E+002;
3.610535000000000E+009;-4.952571864303474E+001;-1.345474079216567E+002;
3.610540000000000E+009;-4.958467980497019E+001;-1.349934531229252E+002;
3.610545000000000E+009;-4.953298459497157E+001;-1.347618720972874E+002;
3.610550000000000E+009;-4.944612352778443E+001;-1.350090727964965E+002;
3.610555000000000E+009;-4.955455676298976E+001;-1.349188321758228E+002;
3.610560000000000E+009;-4.949881378869436E+001;-1.349111035906623E+002;
3.610565000000000E+009;-4.950205512586024E+001;-1.350195065009760E+002;
3.610570000000000E+009;-4.948008401225630E+001;-1.356474099810031E+002;
3.610575000000000E+009;-4.951712444492941E+001;-1.350704025338436E+002;
3.610580000000000E+009;-4.948550859645195E+001;-1.351462465300492E+002;
3.610585000000000E+009;-4.949708478379325E+001;-1.356058553599255E+002;
3.610590000000000E+009;-4.955743592541460E+001;-1.355160341229370E+002;
3.610595000000000E+009;-4.946529609271079E+001;-1.355138603045854E+002;
3.610600000000000E+009;-4.940346547326001E+001;-1.356007006757675E+002;
3.610605000000000E+009;-4.955547063219215E+001;-1.348794162255689E+002;
3.610610000000000E+009;-4.945975958542419E+001;-1.348923282542321E+002;
3.610615000000000E+009;-4.953756375020137E+001;-1.351972471395303E+002;
3.610620000000000E+009;-4.954923034807739E+001;-1.364134575359925E+002;
3.610625000000000E+009;-4.949674653608007E+001;-1.360883192855175E+002;
3.610630000000000E+009;-4.944299045911716E+001;-1.358131242460322E+002;
3.610635000000000E+009;-4.952690407166365E+001;-1.353791264153128E+002;
3.610640000000000E+009;-4.940196373451498E+001;-1.356966623091597E+002;
3.610645000000000E+009;-4.956558023412136E+001;-1.362500522344603E+002;
3.610650000000000E+009;-4.946855631405808E+001;-1.351519738844210E+002;
3.610655000000000E+009;-4.952026546988962E+001;-1.358352062102787E+002;
3.610660000000000E+009;-4.954841312228780E+001;-1.352981889205674E+002;
3.610665000000000E+009;-4.947059656661637E+001;-1.356987649277201E+002;
3.610670000000000E+009;-4.955906477432652E+001;-1.357471075633937E+002;
3.610675000000000E+009;-4.950845096819791E+001;-1.354943863460067E+002;
3.610680000000000E+009;-4.946957963813225E+001;-1.363407404821620E+002;
3.610685000000000E+009;-4.945662990269842E+001;-1.365373852272410E+002;
3.610690000000000E+009;-4.948940963412295E+001;-1.359803795588425E+002;
3.610695000000000E+009;-4.954864132915592E+001;-1.364210273732973E+002;
3.610700000000000E+009;-4.947545314050561E+001;-1.358635853907589E+002;
3.610705000000000E+009;-4.944443588041985E+001;-1.360314423747018E+002;
3.610710000000000E+009;-4.951668300326300E+001;-1.365365457775046E+002;
3.610715000000000E+009;-4.957222214281239E+001;-1.359944017986941E+002;
3.610720000000000E+009;-4.953108276424192E+001;-1.364439245561103E+002;
3.610725000000000E+009;-4.948153647322967E+001;-1.362235060692999E+002;
3.610730000000000E+009;-4.948431993083790E+001;-1.370749034406691E+002;
3.610735000000000E+009;-4.952015328914615E+001;-1.365258313296240E+002;
3.610740000000000E+009;-4.951234517504575E+001;-1.363593541451028E+002;
3.610745000000000E+009;-4.952283136297999E+001;-1.364927992997376E+002;
3.610750000000000E+009;-4.949508532169364E+001;-1.366964774096092E+002;
3.610755000000000E+009;-4.948724236871521E+001;-1.363484753501081E+002;
3.610760000000000E+009;-4.948187867022587E+001;-1.370167968347459E+002;
3.610765000000000E+009;-4.947774770438307E+001;-1.366228673673694E+002;
3.610770000000000E+009;-4.945638321740419E+001;-1.369465128934834E+002;
3.610775000000000E+009;-4.953499391576440E+001;-1.367811566674368E+002;
3.610780000000000E+009;-4.950338328170894E+001;-1.366968341556160E+002;
3.610785000000000E+009;-4.956810787132378E+001;-1.369385686777212E+002;
3.610790000000000E+009;-4.948984334217065E+001;-1.369282526284144E+002;
3.610795000000000E+009;-4.949816110475446E+001;-1.374977808273040E+002;
3.610800000000000E+009;-4.949968571609470E+001;-1.375653534008881E+002;
3.610805000000000E+009;-4.955437833710061E+001;-1.369885551751936E+002;
3.610810000000000E+009;-4.950598199037447E+001;-1.370585957389579E+002;
3.610815000000000E+009;-4.949484707275826E+001;-1.371908780900341E+002;
3.610820000000000E+009;-4.947676536730376E+001;-1.375202580706309E+002;
3.610825000000000E+009;-4.955599873529578E+001;-1.370332556431496E+002;
3.610830000000000E+009;-4.940327567473985E+001;-1.379473241493854E+002;
3.610835000000000E+009;-4.944959155544350E+001;-1.373162112151560E+002;
3.610840000000000E+009;-4.955853285626042E+001;-1.373850204727460E+002;
3.610845000000000E+009;-4.946555149434379E+001;-1.371831288965279E+002;
3.610850000000000E+009;-4.954608499127069E+001;-1.376280180639113E+002;
3.610855000000000E+009;-4.952805335611447E+001;-1.378487593576503E+002;
